name,type,
Whiskey Ginger,whiskey,
Whiskey Smash,whiskey,
Whiskey Sour,whiskey,
White Russian,vodka,
Wine Spritzer,wine,
Woo Woo,vodka,
Waldorf,whiskey,
Warm Old-fashioned,whiskey,
Waterloo Sunset,gin,
Watermelon Cosmo,vodka,
Watermelon Cucumber Cooler,gin,
Wedding Cake,gin,
Whipped Sunset,vodka,
Whiskey Cobbler,whiskey,
White Carnation,vodka,
White Chocolatini,vodka,
White Christmas,whiskey,
White Christmas Dream,vodka,
White Peach Julep,whiskey,
White Peach Sangria,rum,
Widow Maker,vodka,
Winter Cocktail,rum,
Winter Hill,whiskey,
Winter Warmer Mulled Sangria,wine,
Witch Hunt,whiskey,
Yaka Hula Hickey Dula,rum,
Yellow Bird,rum,
Yellow Submarine,rum,
Zombie,rum,
Zombie Punch,rum,
Zesty Irishman,whiskey,
Zombie's Brew,vodka,
